time,seconds_elapsed,dBFS
1717498772590000000,42.404000244140626,-42.599365234375
1717498772690000000,42.503999755859375,-43.188533782958984
1717498772790000000,42.60400024414062,-44.38610076904297
1717498772890000000,42.70399975585938,-25.3652400970459
1717498772990000000,42.804000244140624,-29.97934913635254
1717498773090000000,42.903999755859374,-34.33219909667969
1717498773190000000,43.00400024414063,-37.444210052490234
1717498773290000000,43.10399975585938,-41.41640090942383
1717498773390000000,43.20400024414062,-45.099857330322266
1717498773490000000,43.30399975585937,-46.970054626464844
1717498773606000000,43.420000244140624,-49.44504928588867
1717498773707000000,43.521,-45.869964599609375
1717498773806000000,43.62000024414063,-47.118587493896484
1717498773907000000,43.721,-35.862640380859375
1717498774007000000,43.821,-33.929115295410156
1717498774107000000,43.921,-36.76893615722656
1717498774207000000,44.021,-40.22359848022461
1717498774307000000,44.121,-43.65431213378906
1717498774407000000,44.221,-45.51979446411133
1717498774507000000,44.321,-46.92165756225586
1717498774607000000,44.421,-47.03559112548828
1717498774707000000,44.521,-46.17374038696289
1717498774807000000,44.621,-48.795989990234375
1717498774907000000,44.721,-49.98563003540039
1717498775007000000,44.821,-30.253156661987305
1717498775107000000,44.921,-34.77486038208008
1717498775207000000,45.021,-38.50031280517578
1717498775307000000,45.121,-42.325927734375
1717498775407000000,45.221,-45.154850006103516
1717498775507000000,45.321,-48.39638137817383
1717498775607000000,45.421,-49.35826873779297
1717498775724000000,45.538,-48.48708724975586
1717498775824000000,45.638,-50.9012336730957
1717498775924000000,45.738,-47.311012268066406
1717498776024000000,45.838,-29.621929168701172
1717498776124000000,45.938,-34.060081481933594
1717498776224000000,46.038,-38.09760284423828
1717498776324000000,46.138,-41.29612731933594
1717498776424000000,46.238,-44.474246978759766
1717498776524000000,46.338,-42.39178466796875
1717498776624000000,46.438,-44.75388717651367
1717498776724000000,46.538,-47.08390426635742
1717498776824000000,46.638,-44.602413177490234
1717498776924000000,46.738,-43.744117736816406
1717498777024000000,46.838,-31.58452606201172
1717498777124000000,46.938,-36.01343536376953
1717498777224000000,47.038,-38.83378601074219
1717498777324000000,47.138,-41.86663055419922
1717498777424000000,47.238,-44.88289260864258
1717498777524000000,47.338,-47.330650329589844
1717498777624000000,47.438,-47.66114044189453
1717498777741000000,47.555,-42.17654037475586
1717498777841000000,47.655,-43.860862731933594
1717498777941000000,47.755,-46.96957778930664
1717498778041000000,47.855,-27.68694496154785
1717498778141000000,47.955,-31.00115203857422
1717498778241000000,48.055,-34.68085479736328
1717498778341000000,48.155,-37.98321533203125
1717498778441000000,48.255,-40.81134033203125
1717498778541000000,48.355,-43.545650482177734
1717498778641000000,48.455,-42.06663513183594
1717498778741000000,48.555,-42.95376968383789
1717498778841000000,48.655,-42.66636657714844
1717498778941000000,48.755,-45.02720260620117
1717498779041000000,48.855,-47.03841018676758
1717498779141000000,48.955,-26.28895378112793
1717498779241000000,49.055,-30.87997817993164
1717498779341000000,49.155,-34.90596389770508
1717498779441000000,49.255,-38.14328384399414
1717498779541000000,49.355,-41.920684814453125
1717498779641000000,49.455,-44.28298568725586
