time,seconds_elapsed,dBFS
1716735657929000000,93.527,-109
1716735658047000000,93.645,-104
1716735658164000000,93.762,-111
1716735658281000000,93.879,-108
1716735658397000000,93.995,-106
1716735658515000000,94.113,-106
1716735658629000000,94.227,-88
1716735658748000000,94.346,-84
1716735658863000000,94.461,-108
1716735658980000000,94.578,-106
1716735659100000000,94.698,-111
1716735659216000000,94.814,-111
1716735659330000000,94.92799975585937,-111
1716735659449000000,95.047,-110
1716735659564000000,95.162,-107
1716735659682000000,95.27999975585938,-63
1716735659801000000,95.399,-104
1716735659916000000,95.514,-109
1716735660032000000,95.63,-108
1716735660148000000,95.746,-105
1716735660264000000,95.862,-107
1716735660381000000,95.979,-108
1716735660499000000,96.097,-108
1716735660618000000,96.21599975585937,-73
1716735660731000000,96.329,-70
1716735660851000000,96.449,-109
1716735660965000000,96.563,-107
1716735661084000000,96.682,-108
1716735661199000000,96.797,-109
1716735661316000000,96.914,-106
1716735661432000000,97.03,-105
1716735661550000000,97.14800024414062,-103
1716735661668000000,97.266,-46
1716735661783000000,97.381,-80
1716735661901000000,97.499,-104
1716735662017000000,97.615,-107
1716735662134000000,97.73200024414062,-108
1716735662250000000,97.84799975585938,-110
1716735662366000000,97.96400024414062,-111
1716735662484000000,98.082,-107
1716735662601000000,98.199,-65
1716735662721000000,98.319,-101
1716735662834000000,98.43199975585938,-111
1716735662950000000,98.54800024414062,-109
1716735663068000000,98.666,-112
1716735663185000000,98.783,-107
1716735663303000000,98.901,-107
1716735663419000000,99.017,-104
1716735663535000000,99.133,-109
1716735663651000000,99.249,-52
1716735663769000000,99.367,-66
1716735663886000000,99.48400024414063,-105
1716735664004000000,99.602,-106
1716735664121000000,99.719,-109
1716735664244000000,99.842,-108
1716735664352000000,99.95,-111
1716735664468000000,100.066,-109
1716735664589000000,100.187,-108
1716735664704000000,100.302,-76
1716735664821000000,100.419,-105
1716735664938000000,100.53599975585938,-108
1716735665054000000,100.65200024414062,-110
1716735665169000000,100.767,-106
1716735665288000000,100.886,-105
1716735665403000000,101.001,-109
